timestamp,pow,traw,tmu,cd,cv,ci
0,194,61,0,9093,1010,3415
2,212,61,0,9156,1011,3745
3,217,61,0,9156,1011,3872
5,223,61,0,9171,1010,4004
7,230,61,0,9187,1011,4122
8,232,62,0,9187,1011,4167
10,231,62,0,9187,1013,4206
12,233,62,0,9187,1012,4421
13,234,62,0,9187,1011,4343
15,238,63,0,9187,1012,4339
17,241,63,0,9187,1012,4315
18,247,63,0,9187,1012,4479
20,248,63,0,9179,1012,4413
22,239,64,0,9187,1011,4565
23,247,64,0,9187,1012,4519
25,246,64,0,9187,1013,4535
26,258,64,34513,9187,1012,4647
28,244,64,34514,9187,1012,4546
30,251,65,34514,9187,1011,4612
31,248,65,34516,9187,1012,4608
33,258,65,34517,9187,1011,4729
35,250,65,34518,9203,1011,4690
36,256,65,34518,9187,1011,4679
38,250,65,34518,9203,1012,4577
40,248,66,34520,9187,1012,4628
41,247,66,34521,9203,1012,4686
43,255,66,34522,9203,1013,4714
44,258,66,34522,9203,1011,4721
46,251,66,34522,9187,1012,4663
48,260,66,34523,9203,1012,4777
49,260,67,34524,9203,1011,4816
51,249,67,34524,9203,1011,4722
53,256,67,34524,9203,1014,4690
54,253,67,34526,9203,1012,4753
56,253,67,34526,9203,1012,4795
58,262,67,34526,9203,1012,4898
59,266,67,34526,9203,1014,4929
61,263,68,34524,9203,1011,4819
63,259,68,34524,9203,1011,4839
64,258,68,34523,9203,1011,4831
66,262,68,34521,9203,1012,4843
67,259,68,34520,9203,1012,4777
69,259,68,34519,9203,1013,4855
71,256,68,34518,9218,1011,4792
72,264,69,34518,9218,1013,4914
74,261,69,34516,9218,1011,4804
76,266,69,34516,9218,1012,4941
77,262,69,34515,9203,1012,4984
79,258,69,34513,9203,1011,4863
81,258,69,34511,9218,1011,4948
82,266,69,34509,9218,1011,4897
84,269,70,34507,9218,1012,5031
86,270,70,34505,9218,1011,5046
87,270,70,34504,9203,1013,5054
89,268,70,34502,9203,1011,5026
90,266,70,34499,9203,1011,4971
92,267,70,34496,9203,1013,4936
94,263,70,34493,9218,1011,5050
95,268,70,34493,9218,1012,5050
97,257,71,34491,9218,1012,5026
99,270,71,34490,9218,1012,5027
100,265,71,34490,9218,1012,4991
102,269,71,34489,9218,1012,5042
104,273,71,34488,9218,1011,5195
105,268,71,34486,9218,1014,5046
107,264,71,34485,9218,1011,5050
109,268,71,34484,9218,1012,5092
110,272,72,34483,9218,1012,5081
112,267,72,34483,9218,1013,5120
113,276,72,34483,9218,1011,5171
115,268,72,34483,9218,1011,5097
117,267,72,34483,9218,1011,5061
118,271,72,34484,9218,1012,5092
120,275,72,34485,9218,1012,5241
122,272,72,34484,9218,1013,5179
123,271,73,34484,9226,1014,5093
125,279,73,34485,9218,1011,5202
127,271,73,34484,9218,1012,5171
128,271,73,34486,9218,1013,5085
130,263,73,34487,9218,1011,5046
131,269,73,34488,9218,1012,5093
133,269,73,34488,9218,1012,5163
135,269,73,34487,9218,1012,5234
136,273,73,34487,9218,1012,5144
138,265,74,34487,9218,1012,5140
140,275,74,34486,9218,1012,5167
141,272,74,34486,9218,1012,5155
143,277,74,34487,9218,1012,5253
145,262,74,34487,9226,1013,5179
146,270,74,34486,9218,1013,5159
148,263,74,34487,9218,1012,5151
150,221,74,34485,9218,1012,5257
151,267,75,34483,9234,1012,5265
153,273,75,34482,9226,1012,5265
154,271,75,34480,9234,1012,5202
156,271,75,34478,9218,1013,5304
158,276,75,34478,9218,1012,5284
159,261,75,34477,9218,1012,5132
161,267,75,34477,9234,1013,5132
163,268,75,34478,9218,1011,5277
164,276,75,34478,9218,1013,5296
166,268,76,34477,9218,1011,5241
168,274,76,34477,9234,1012,5273
169,269,76,34476,9218,1013,5241
171,270,76,34475,9218,1013,5152
173,274,76,34475,9234,1013,5261
174,262,76,34474,9234,1013,5171
176,277,76,34475,9234,1013,5273
177,276,76,34475,9234,1013,5269
179,268,76,34474,9234,1013,5191
181,269,77,34474,9234,1013,5159
182,272,77,34474,9234,1011,5273
184,277,77,34474,9234,1012,5312
186,273,77,34473,9218,1012,5241
187,273,77,34474,9234,1014,5273
189,262,77,34473,9234,1012,5187
191,267,77,34472,9234,1014,5265
192,276,77,34472,9234,1013,5241
194,273,77,34473,9234,1013,5277
195,269,78,34473,9234,1012,5253
197,268,78,34470,9218,1012,5163
199,266,78,34468,9234,1012,5284
200,275,78,34467,9234,1013,5269
202,271,78,34465,9234,1013,5292
204,273,78,34463,9234,1012,5304
205,270,78,34462,9218,1011,5269
207,275,78,34461,9234,1012,5312
209,270,78,34459,9234,1011,5273
210,269,79,34458,9218,1013,5238
212,272,79,34455,9218,1012,5292
214,275,79,34452,9226,1011,5308
215,277,79,34449,9218,1013,5273
217,274,79,34447,9234,1011,5269
218,264,79,34445,9218,1011,5312
220,272,79,34441,9218,1011,5320
222,279,79,34438,9218,1012,5296
223,268,79,34438,9234,1011,5281
225,272,79,34436,9234,1012,5269
227,259,80,34435,9234,1013,5253
228,267,80,34436,9234,1012,5347
230,272,80,34436,9234,1011,5308
232,279,80,34436,9234,1012,5288
233,271,80,34436,9234,1012,5261
235,271,80,34433,9234,1012,5152
237,269,80,34432,9218,1012,5288
238,264,80,34432,9234,1012,5284
240,272,80,34432,9234,1012,5277
241,268,81,34432,9234,1013,5285
243,271,81,34431,9234,1012,5370
245,270,81,34431,9234,1012,5295
246,267,81,34432,9234,1013,5265
248,274,81,34431,9234,1011,5346
250,269,81,34431,9234,1012,5249
251,272,81,34430,9234,1013,5183
253,275,81,34427,9234,1012,5308
255,272,81,34423,9234,1013,5264
256,270,81,34419,9218,1011,5269
258,269,82,34415,9234,1011,5381
259,277,82,34412,9218,1012,5406
261,270,82,34410,9234,1011,5335
263,273,82,34407,9226,1011,5370
264,268,82,34405,9218,1011,5233
266,270,82,34403,9234,1011,5276
268,266,82,34400,9234,1012,5307
269,285,82,34397,9234,1012,5343
271,269,82,34395,9234,1011,5359
273,271,82,34393,9234,1012,5347
274,283,83,34392,9234,1011,5370
276,269,83,34391,9218,1011,5296
278,276,83,34390,9234,1013,5347
279,274,83,34391,9234,1013,5312
281,279,83,34391,9234,1012,5393
282,274,83,34392,9234,1012,5402
284,271,83,34393,9234,1011,5382
286,272,83,34393,9234,1011,5409
287,273,83,34393,9234,1012,5398
289,272,83,34394,9234,1011,5405
291,265,84,34395,9234,1011,5319
292,275,84,34394,9218,1011,5366
294,274,84,34394,9234,1011,5362
296,266,84,34394,9234,1011,5378
297,276,84,34393,9234,1011,5331
299,268,84,34391,9226,1011,5382
301,263,84,34390,9234,1012,5402
302,272,84,34391,9234,1011,5401
304,274,84,34390,9234,1012,5417
305,272,84,34389,9234,1012,5421
307,270,84,34387,9234,1011,5402
309,280,85,34386,9234,1012,5448
310,273,85,34384,9234,1012,5393
312,264,85,34383,9234,1011,5320
314,267,85,34382,9234,1012,5382
315,270,85,34380,9234,1012,5347
317,267,85,34379,9234,1012,5319
319,273,85,34379,9234,1011,5378
320,272,85,34378,9234,1011,5382
322,274,85,34377,9234,1012,5362
324,274,85,34377,9234,1011,5366
325,270,86,34375,9234,1011,5390
327,275,86,34372,9234,1011,5374
328,269,86,34370,9234,1010,5429
330,277,86,34367,9234,1012,5343
332,266,86,34365,9226,1011,5265
