timestamp,pow,traw,tmu,cd,cv,ci
0,272,66,36185,9546,1051,4839
28,283,66,36184,9546,1053,4948
30,277,67,36184,9546,1052,4948
31,280,67,36183,9546,1051,5038
33,275,67,36183,9562,1052,4886
35,283,67,36184,9546,1053,5018
36,276,67,36185,9562,1054,5049
38,267,68,36185,9562,1052,4957
40,284,68,36184,9562,1053,5073
41,285,68,36185,9546,1052,5175
43,279,68,36185,9554,1051,5038
45,277,68,36186,9546,1052,5007
46,281,68,36186,9562,1051,5148
48,282,69,36186,9562,1052,5175
49,272,69,36185,9546,1051,5088
51,276,69,36184,9554,1052,5065
53,291,69,36182,9546,1052,5257
54,281,69,36182,9546,1052,5116
56,278,69,36183,9562,1053,5120
58,283,69,36183,9562,1051,5273
59,287,70,36182,9562,1052,5183
61,282,70,36182,9562,1053,5144
63,276,70,36181,9562,1052,5183
64,286,70,36181,9562,1053,5187
66,285,70,36180,9562,1052,5191
68,278,70,36179,9562,1052,5148
69,283,70,36179,9562,1052,5163
71,279,71,36179,9562,1052,5152
72,285,71,36179,9562,1052,5241
74,286,71,36179,9562,1053,5206
76,282,71,36180,9562,1052,5191
77,287,71,36180,9562,1053,5245
79,276,71,36181,9562,1052,5144
81,271,71,36182,9562,1051,5253
82,282,71,36181,9562,1051,5163
84,285,72,36181,9562,1052,5245
86,288,72,36179,9562,1053,5152
87,281,72,36177,9562,1052,5179
89,290,72,36176,9562,1052,5249
91,281,72,36175,9570,1052,5144
92,277,72,36175,9562,1053,5245
94,284,72,36174,9578,1052,5171
95,282,72,36172,9562,1053,5175
97,282,73,36171,9562,1053,5273
99,278,73,36170,9562,1052,5144
100,281,73,36169,9578,1052,5152
102,288,73,36167,9562,1053,5269
104,294,73,36167,9570,1053,5339
105,285,73,36167,9562,1053,5281
107,284,73,36166,9562,1053,5183
109,286,73,36165,9570,1052,5257
110,282,74,36165,9578,1053,5206
112,289,74,36166,9578,1053,5132
113,282,74,36167,9562,1052,5199
115,277,74,36168,9570,1053,5183
117,282,74,36167,9578,1052,5284
118,285,74,36168,9578,1052,5163
120,283,74,36168,9578,1053,5183
122,281,74,36168,9578,1053,5218
123,283,75,36169,9578,1053,5257
125,279,75,36169,9578,1052,5273
127,283,75,36168,9578,1052,5163
128,281,75,36168,9578,1052,5241
130,279,75,36167,9562,1052,5245
132,280,75,36165,9562,1053,5238
133,283,75,36163,9562,1051,5335
135,287,75,36161,9578,1052,5289
136,276,75,36160,9578,1053,5202
138,283,76,36159,9578,1054,5277
140,283,76,36157,9578,1053,5269
141,289,76,36156,9570,1053,5214
143,280,76,36154,9562,1053,5273
145,284,76,36151,9578,1053,5152
146,278,76,36149,9578,1051,5284
148,282,76,36148,9578,1054,5167
150,280,76,36146,9578,1053,5230
151,275,76,36144,9578,1052,5175
153,281,77,36142,9578,1053,5300
155,280,77,36141,9578,1053,5331
156,281,77,36140,9578,1053,5191
158,278,77,36140,9578,1053,5225
159,283,77,36140,9578,1053,5316
161,283,77,36140,9578,1053,5347
163,275,77,36139,9578,1052,5273
164,279,77,36136,9578,1052,5260
166,276,77,36135,9578,1053,5252
168,282,78,36133,9578,1052,5209
169,285,78,36132,9578,1054,5405
171,286,78,36132,9578,1052,5476
173,285,78,36130,9578,1051,5347
174,286,78,36129,9578,1053,5374
176,279,78,36129,9578,1053,5476
177,273,78,36128,9578,1054,5304
179,289,78,36128,9578,1052,5409
181,285,78,36127,9578,1054,5288
182,288,79,36126,9578,1052,5378
184,273,79,36123,9578,1053,5245
186,289,79,36121,9578,1053,5452
187,278,79,36118,9578,1052,5343
189,298,79,36117,9578,1052,5421
191,288,79,36116,9578,1052,5437
192,292,79,36114,9562,1052,5472
194,287,79,36112,9578,1051,5398
196,285,79,36110,9562,1052,5472
197,289,79,36108,9578,1053,5413
199,288,80,36106,9578,1052,5448
200,279,80,36104,9578,1052,5433
202,280,80,36102,9578,1052,5222
204,281,80,36099,9562,1053,5296
205,276,80,36096,9578,1052,5452
207,294,80,36095,9578,1053,5374
209,280,80,36094,9578,1052,5448
210,287,80,36093,9578,1052,5366
212,287,80,36094,9578,1052,5421
214,291,81,36093,9578,1053,5417
215,283,81,36093,9578,1051,5390
217,282,81,36093,9578,1053,5409
219,288,81,36092,9578,1052,5413
220,288,81,36092,9578,1052,5448
222,286,81,36091,9578,1053,5445
223,285,81,36092,9578,1051,5409
225,283,81,36093,9578,1052,5312
227,287,81,36093,9578,1053,5410
228,291,82,36093,9578,1053,5401
230,286,82,36095,9578,1052,5296
232,285,82,36096,9578,1053,5429
233,282,82,36097,9578,1052,5405
235,286,82,36098,9585,1052,5331
237,289,82,36098,9578,1052,5425
238,279,82,36098,9593,1054,5374
240,292,82,36098,9578,1053,5448
242,275,82,36097,9578,1053,5253
243,279,82,36097,9578,1054,5265
245,285,82,36097,9578,1053,5300
246,291,83,36097,9578,1053,5402
248,283,83,36097,9578,1051,5405
250,292,83,36094,9578,1054,5484
251,284,83,36093,9578,1053,5421
253,288,83,36091,9578,1054,5503
255,280,83,36089,9578,1053,5281
256,289,83,36087,9578,1052,5499
258,293,83,36084,9578,1052,5398
260,288,83,36081,9578,1052,5382
261,287,83,36079,9578,1053,5445
263,281,84,36077,9578,1053,5413
264,287,84,36074,9578,1053,5374
266,287,84,36072,9578,1052,5460
268,287,84,36071,9578,1052,5507
269,288,84,36071,9593,1054,5394
271,292,84,36071,9578,1054,5511
273,282,84,36070,9578,1051,5359
274,280,84,36069,9585,1053,5261
276,289,84,36069,9578,1052,5460
278,286,84,36069,9578,1052,5288
279,288,85,36069,9578,1054,5523
281,280,85,36069,9578,1052,5304
283,279,85,36070,9593,1052,5410
284,291,85,36070,9578,1053,5402
286,285,85,36069,9578,1051,5421
287,284,85,36069,9578,1053,5374
289,292,85,36069,9593,1051,5374
291,283,85,36069,9593,1052,5386
292,276,85,36069,9593,1052,5343
294,281,85,36069,9585,1053,5366
296,277,85,36068,9593,1052,5343
297,280,86,36067,9593,1053,5413
299,280,86,36066,9593,1054,5382
301,292,86,36066,9593,1053,5546
302,285,86,36066,9585,1052,5394
304,272,86,36066,9593,1053,5335
306,292,86,36066,9593,1053,5448
307,287,86,36066,9593,1053,5503
309,289,86,36065,9593,1053,5507
310,284,86,36065,9593,1052,5476
