elapsed sec.,core.v,core.i,core.duty,tmu.avg,tsens0,tsens1,power
0,1003,2578,8937,33978,60,0,246
0,1003,2578,8937,33934,60,0,246
1,1003,2578,8937,33888,60,0,246
1,989,17625,9859,33838,60,0,872
2,989,17625,9859,33791,60,0,872
2,989,17625,9859,33741,60,0,872
3,989,17625,9859,33694,60,0,872
3,989,17625,9859,33674,60,0,872
4,989,17625,9859,33657,60,0,872
4,989,17625,9859,33647,60,0,872
5,1031,18437,9718,33651,61,0,977
5,1031,18437,9718,33638,61,0,977
6,1031,18437,9718,33630,61,0,977
6,1031,18437,9718,33625,61,0,977
7,1031,18437,9718,33625,61,0,977
7,1031,18437,9718,33636,61,0,977
8,1031,18437,9718,33636,61,0,977
8,1027,17250,9937,33631,63,0,899
9,1027,17250,9937,33634,63,0,899
9,1027,17250,9937,33649,63,0,899
10,1027,17250,9937,33645,63,0,899
10,1027,17250,9937,33642,63,0,899
11,1027,17250,9937,33633,63,0,899
11,1024,16656,9906,33635,65,0,890
12,1024,16656,9906,33639,65,0,890
12,1024,16656,9906,33639,65,0,890
13,1024,16656,9906,33621,65,0,890
13,1024,16656,9906,33623,65,0,890
14,1024,16656,9906,33622,65,0,890
14,1024,16656,9906,33623,65,0,890
15,983,17031,9953,33621,67,0,856
15,983,17031,9953,33614,67,0,856
16,983,17031,9953,33609,67,0,856
16,983,17031,9953,33622,67,0,856
17,983,17031,9953,33612,67,0,856
17,983,17031,9953,33624,67,0,856
18,983,17031,9953,33615,67,0,856
18,988,18250,9953,33614,69,0,937
19,988,18250,9953,33613,69,0,937
19,988,18250,9953,33622,69,0,937
20,988,18250,9953,33621,69,0,937
20,988,18250,9953,33634,69,0,937
21,988,18250,9953,33629,69,0,937
21,988,18250,9953,33626,69,0,937
22,968,16406,9984,33630,70,0,808
22,968,16406,9984,33621,70,0,808
23,968,16406,9984,33619,70,0,808
23,968,16406,9984,33621,70,0,808
24,968,16406,9984,33619,70,0,808
24,968,16406,9984,33618,70,0,808
25,968,16406,9984,33618,70,0,808
25,1001,17687,9921,33615,71,0,923
26,1001,17687,9921,33616,71,0,923
26,1001,17687,9921,33611,71,0,923
27,1001,17687,9921,33601,71,0,923
27,1001,17687,9921,33592,71,0,923
28,1001,17687,9921,33585,71,0,923
28,1001,17687,9921,33584,71,0,923
29,999,17375,9984,33587,72,0,900
29,999,17375,9984,33589,72,0,900
30,999,17375,9984,33590,72,0,900
30,999,17375,9984,33590,72,0,900
31,999,17375,9984,33599,72,0,900
31,999,17375,9984,33604,72,0,900
32,999,17375,9984,33609,72,0,900
32,999,18187,9906,33607,73,0,924
33,999,18187,9906,33607,73,0,924
33,999,18187,9906,33605,73,0,924
34,999,18187,9906,33607,73,0,924
34,999,18187,9906,33606,73,0,924
35,999,18187,9906,33599,73,0,924
35,999,18187,9906,33589,73,0,924
36,999,17437,9843,33588,74,0,907
36,999,17437,9843,33592,74,0,907
37,999,17437,9843,33601,74,0,907
37,999,17437,9843,33596,74,0,907
38,999,17437,9843,33589,74,0,907
38,999,17437,9843,33590,74,0,907
39,999,17437,9843,33591,74,0,907
39,1055,16781,10000,33585,75,0,915
40,1055,16781,10000,33576,75,0,915
40,1055,16781,10000,33560,75,0,915
41,1055,16781,10000,33566,75,0,915
41,1055,16781,10000,33574,75,0,915
42,1055,16781,10000,33585,75,0,915
42,1055,16781,10000,33593,75,0,915
43,999,17281,9953,33598,76,0,898
43,999,17281,9953,33596,76,0,898
44,999,17281,9953,33601,76,0,898
44,999,17281,9953,33597,76,0,898
45,999,17281,9953,33578,76,0,898
45,999,17281,9953,33551,76,0,898
46,999,17281,9953,33533,76,0,898
46,1006,17375,9937,33521,76,0,902
47,1006,17375,9937,33529,76,0,902
47,1006,17375,9937,33520,76,0,902
48,1006,17375,9937,33523,76,0,902
48,1006,17375,9937,33527,76,0,902
49,1006,17375,9937,33548,76,0,902
49,1026,18062,9734,33554,77,0,956
50,1026,18062,9734,33560,77,0,956
50,1026,18062,9734,33552,77,0,956
51,1026,18062,9734,33556,77,0,956
51,1026,18062,9734,33549,77,0,956
52,1026,18062,9734,33553,77,0,956
52,1026,18062,9734,33551,77,0,956
53,1003,17625,9875,33546,78,0,890
53,1003,17625,9875,33549,78,0,890
54,1003,17625,9875,33552,78,0,890
54,1003,17625,9875,33548,78,0,890
55,1003,17625,9875,33542,78,0,890
55,1003,17625,9875,33550,78,0,890
56,1003,17625,9875,33539,78,0,890
56,1027,17562,9984,33548,78,0,886
57,1027,17562,9984,33541,78,0,886
57,1027,17562,9984,33550,78,0,886
58,1027,17562,9984,33550,78,0,886
58,1027,17562,9984,33555,78,0,886
59,1027,17562,9984,33552,78,0,886
59,1027,17562,9984,33566,78,0,886
60,998,18187,9953,33578,79,0,911
60,998,18187,9953,33569,79,0,911
61,998,18187,9953,33556,79,0,911
61,998,18187,9953,33565,79,0,911
62,998,18187,9953,33569,79,0,911
62,998,18187,9953,33571,79,0,911
63,998,18187,9953,33561,79,0,911
63,1007,18468,10000,33549,79,0,948
64,1007,18468,10000,33564,79,0,948
64,1007,18468,10000,33560,79,0,948
65,1007,18468,10000,33563,79,0,948
65,1007,18468,10000,33558,79,0,948
66,1007,18468,10000,33556,79,0,948
66,1007,18468,10000,33566,79,0,948
67,976,18218,9984,33562,80,0,892
67,976,18218,9984,33562,80,0,892
68,976,18218,9984,33562,80,0,892
68,976,18218,9984,33555,80,0,892
69,976,18218,9984,33566,80,0,892
69,976,18218,9984,33576,80,0,892
70,1004,17031,9937,33569,80,0,892
70,1004,17031,9937,33585,80,0,892
71,1004,17031,9937,33580,80,0,892
71,1004,17031,9937,33590,80,0,892
72,1004,17031,9937,33583,80,0,892
72,1004,17031,9937,33588,80,0,892
73,1004,17031,9937,33575,80,0,892
73,1003,18343,9968,33573,81,0,944
74,1003,18343,9968,33560,81,0,944
74,1003,18343,9968,33580,81,0,944
75,1003,18343,9968,33574,81,0,944
75,1003,18343,9968,33580,81,0,944
76,1003,18343,9968,33579,81,0,944
76,1003,18343,9968,33582,81,0,944
77,1003,18062,9796,33582,81,0,916
77,1003,18062,9796,33563,81,0,916
78,1003,18062,9796,33557,81,0,916
78,1003,18062,9796,33541,81,0,916
79,1003,18062,9796,33539,81,0,916
79,1003,18062,9796,33535,81,0,916
80,1003,18062,9796,33530,81,0,916
80,981,17906,9921,33531,82,0,854
81,981,17906,9921,33543,82,0,854
81,981,17906,9921,33540,82,0,854
82,981,17906,9921,33545,82,0,854
82,981,17906,9921,33536,82,0,854
83,981,17906,9921,33533,82,0,854
83,981,17906,9921,33540,82,0,854
84,1017,18281,9921,33538,82,0,959
84,1017,18281,9921,33532,82,0,959
85,1017,18281,9921,33526,82,0,959
85,1017,18281,9921,33528,82,0,959
86,1017,18281,9921,33545,82,0,959
