timestamp,pow,traw,tmu,cd,cv,ci
0,248,62,34957,9265,1022,4417
2,249,62,34956,9265,1022,4432
4,238,62,34955,9265,1021,4319
5,237,63,34955,9265,1022,4401
7,246,63,34955,9265,1021,4499
8,247,63,34952,9265,1020,4496
10,246,63,34951,9281,1023,4472
12,243,63,34951,9273,1022,4440
13,249,64,34951,9265,1023,4608
15,252,64,34951,9265,1022,4561
17,253,64,34950,9265,1023,4561
18,247,64,34949,9281,1022,4440
20,247,64,34949,9265,1023,4511
22,251,64,34948,9265,1022,4530
23,257,64,34947,9265,1023,4542
25,255,65,34946,9265,1021,4652
27,250,65,34944,9265,1022,4601
28,258,65,34943,9265,1022,4714
30,264,65,34942,9265,1024,4757
31,265,65,34940,9281,1022,4858
33,263,65,34939,9281,1024,4761
35,259,66,34939,9265,1022,4702
36,260,66,34938,9265,1023,4850
38,257,66,34936,9265,1022,4886
40,247,66,34933,9265,1023,4714
41,263,66,34932,9265,1022,4757
43,253,66,34930,9265,1022,4812
45,262,66,34928,9281,1022,4764
46,256,67,34927,9281,1023,4843
48,268,67,34927,9281,1022,4823
50,261,67,34927,9281,1023,4867
51,261,67,34929,9281,1023,4807
53,262,67,34929,9281,1026,4894
54,262,67,34931,9281,1022,4878
56,264,67,34931,9265,1022,4886
58,269,68,34933,9281,1022,4991
59,269,68,34932,9281,1024,4897
61,257,68,34933,9281,1022,4858
63,262,68,34934,9281,1023,4855
64,258,68,34935,9281,1023,4964
66,266,68,34936,9281,1024,4945
68,266,68,34937,9281,1023,4894
69,262,68,34938,9281,1022,4855
71,270,69,34938,9296,1022,4913
72,268,69,34938,9296,1024,5030
74,275,69,34938,9296,1024,5073
76,267,69,34937,9296,1024,5023
77,272,69,34936,9296,1023,5007
79,272,69,34936,9296,1023,5069
81,266,69,34935,9281,1021,5015
82,269,70,34934,9296,1023,4991
84,262,70,34933,9296,1023,4886
86,271,70,34933,9296,1024,5027
87,262,70,34933,9296,1022,5069
89,270,70,34932,9296,1023,5069
91,273,70,34931,9296,1022,5140
92,272,70,34930,9288,1022,5155
94,275,70,34928,9296,1023,5034
95,273,71,34929,9304,1024,5085
97,268,71,34929,9296,1022,5054
99,272,71,34928,9288,1023,5015
100,270,71,34927,9296,1025,5046
102,273,71,34926,9296,1023,5085
104,269,71,34925,9281,1021,5073
105,281,71,34923,9296,1022,5151
107,271,71,34922,9296,1023,4944
109,273,71,34922,9296,1023,5147
