timestamp,pow,traw,tmu,cd,cv,ci
0,237,56,34057,9085,1003,4468
2,242,56,34058,9078,1001,4417
4,234,56,34058,9078,1001,4292
5,240,56,34058,9078,1001,4402
7,237,57,34056,9078,1003,4421
9,238,57,34056,9078,1003,4527
10,248,57,34056,9078,1001,4554
12,238,57,34055,9078,1003,4616
14,242,57,34055,9078,1001,4483
15,242,57,34054,9093,1001,4460
17,238,57,34054,9078,1002,4464
19,239,58,34052,9078,1001,4506
20,242,58,34052,9093,1003,4597
22,235,58,34051,9085,1002,4585
23,240,58,34050,9093,1001,4573
25,237,58,34050,9078,1002,4464
27,254,58,34048,9093,1003,4691
28,260,59,34047,9093,1002,4694
30,251,59,34046,9093,1001,4589
32,243,59,34047,9093,1002,4573
33,249,59,34048,9093,1001,4722
35,250,59,34049,9093,1003,4616
37,250,59,34049,9109,1002,4667
38,246,59,34049,9093,1002,4597
40,241,59,34049,9109,1002,4631
42,243,60,34049,9109,1002,4507
43,248,60,34050,9109,1003,4522
45,256,60,34050,9109,1001,4702
46,254,60,34050,9109,1002,4769
48,253,60,34050,9109,1002,4726
50,250,60,34050,9109,1001,4753
51,262,60,34050,9109,1003,4768
53,255,61,34051,9093,1002,4858
55,247,61,34051,9109,1000,4784
56,259,61,34051,9109,1003,4878
58,261,61,34051,9109,1003,4784
60,253,61,34049,9109,1002,4694
61,259,61,34049,9109,1003,4819
63,257,61,34049,9109,1001,4851
65,256,62,34049,9109,1001,4870
66,254,62,34048,9109,1002,4842
68,263,62,34049,9109,1003,4893
69,261,62,34050,9109,1003,4937
71,267,62,34052,9109,1003,5050
73,265,62,34052,9109,1003,4910
74,264,62,34053,9109,1003,4960
76,262,62,34054,9109,1003,4924
78,267,63,34054,9109,1003,4933
79,270,63,34055,9109,1003,5030
81,252,63,34055,9109,1003,4800
83,249,63,34055,9109,1003,4815
84,259,63,34054,9109,1002,5026
86,259,63,34053,9109,1003,4960
87,255,63,34052,9109,1002,4948
89,261,63,34051,9109,1003,4964
91,258,64,34052,9109,1002,4878
92,268,64,34051,9109,1002,5038
94,258,64,34050,9109,1003,4964
96,274,64,34048,9109,1002,5120
97,264,64,34046,9109,1002,5113
99,270,64,34045,9109,1002,5101
101,265,64,34042,9109,1003,5034
102,248,64,34040,9109,1002,4983
104,271,65,34037,9109,1003,5144
106,262,65,34035,9109,1003,5007
107,269,65,34035,9109,1002,5128
109,263,65,34036,9125,1003,5022
110,258,65,34038,9109,1003,5058
112,266,65,34038,9109,1003,5035
114,267,65,34040,9125,1003,5054
115,261,65,34041,9125,1004,5011
117,264,65,34042,9109,1002,5148
119,271,66,34044,9125,1002,5109
120,263,66,34044,9109,1003,5074
122,260,66,34045,9109,1002,5101
124,257,66,34046,9109,1003,5058
125,268,66,34047,9109,1003,5171
127,269,66,34049,9125,1003,5097
129,268,66,34049,9109,1002,5081
130,269,66,34050,9125,1003,5031
132,265,67,34050,9109,1002,5034
133,260,67,34048,9109,1003,5034
135,260,67,34047,9125,1001,5046
137,271,67,34045,9109,1002,5077
138,260,67,34045,9125,1003,5042
140,264,67,34044,9125,1002,5034
142,267,67,34042,9125,1003,5152
143,267,67,34041,9125,1003,5139
145,277,67,34040,9125,1002,5175
147,267,68,34040,9132,1002,5167
148,264,68,34039,9125,1003,5039
150,276,68,34037,9140,1003,5190
152,270,68,34036,9125,1003,5058
153,277,68,34036,9140,1003,5139
155,263,68,34038,9140,1003,5112
156,271,68,34039,9125,1003,5179
158,279,68,34040,9132,1003,5206
160,279,69,34040,9140,1003,5120
161,269,69,34041,9140,1003,5182
163,268,69,34041,9140,1003,5101
165,270,69,34040,9140,1002,5120
166,272,69,34040,9125,1003,5163
168,279,69,34038,9140,1004,5281
170,287,69,34039,9125,1002,5269
171,267,69,34038,9140,1003,5163
173,262,69,34037,9125,1002,5112
174,267,70,34037,9125,1003,5167
176,275,70,34036,9125,1003,5140
178,275,70,34035,9125,1003,5155
179,262,70,34033,9125,1002,5139
181,276,70,34031,9125,1001,5190
183,271,70,34029,9125,1003,5233
184,281,70,34027,9140,1003,5316
186,271,70,34027,9140,1003,5206
188,278,70,34026,9125,1003,5210
189,275,71,34025,9140,1003,5213
191,270,71,34024,9140,1003,5202
193,277,71,34025,9140,1003,5273
194,283,71,34024,9140,1003,5253
196,277,71,34023,9140,1003,5241
197,273,71,34022,9140,1003,5179
199,272,71,34020,9125,1003,5292
201,275,71,34018,9125,1003,5261
202,272,71,34018,9140,1003,5288
204,283,71,34016,9132,1002,5261
206,272,72,34014,9125,1001,5175
207,279,72,34013,9132,1003,5253
209,270,72,34011,9125,1002,5253
211,286,72,34010,9132,1002,5292
212,274,72,34008,9140,1003,5187
214,276,72,34008,9140,1003,5152
216,278,72,34007,9140,1002,5195
217,271,72,34006,9125,1002,5214
219,269,73,34004,9140,1003,5265
220,279,73,34004,9140,1001,5195
222,281,73,34003,9140,1003,5312
224,272,73,34003,9140,1003,5245
225,277,73,34002,9132,1002,5327
227,273,73,34002,9125,1001,5300
229,283,73,34002,9140,1003,5245
230,283,73,34004,9125,1002,5296
232,279,73,34006,9140,1003,5265
234,266,73,34007,9140,1003,5273
235,273,74,34007,9140,1002,5269
237,271,74,34006,9140,1002,5171
238,270,74,34005,9140,1002,5183
240,274,74,34004,9140,1001,5308
242,275,74,34002,9132,1002,5261
243,284,74,34001,9140,1003,5308
245,278,74,34000,9140,1004,5312
247,267,74,34000,9140,1002,5163
248,272,74,34000,9140,1003,5273
250,277,75,33999,9140,1001,5308
252,278,75,33999,9140,1003,5277
253,275,75,33999,9140,1002,5269
255,271,75,33998,9140,1003,5289
257,221,75,33998,9140,1003,5269
258,283,75,33996,9140,1003,5277
260,278,75,33995,9140,1003,5265
261,274,75,33996,9140,1003,5281
263,278,75,33996,9140,1003,5288
265,285,75,33995,9140,1003,5331
266,273,76,33993,9140,1003,5269
268,278,76,33993,9140,1002,5288
270,285,76,33993,9140,1002,5351
271,276,76,33992,9140,1002,5284
273,282,76,33991,9140,1003,5296
275,278,76,33991,9140,1003,5234
276,273,76,33989,9140,1003,5171
278,278,76,33989,9140,1003,5316
280,273,76,33987,9140,1003,5308
281,285,76,33986,9140,1003,5288
283,275,76,33984,9140,1002,5300
284,280,77,33984,9140,1003,5355
286,276,77,33984,9140,1003,5257
288,291,77,33982,9140,1003,5409
289,277,77,33981,9140,1003,5257
291,280,77,33982,9156,1003,5331
293,222,77,33984,9140,1004,5304
294,270,77,33985,9140,1003,5269
296,278,77,33985,9140,1003,5277
298,277,77,33985,9140,1002,5320
299,274,77,33984,9140,1003,5296
301,277,77,33985,9148,1003,5312
303,278,77,33986,9156,1003,5284
304,279,77,33988,9156,1004,5296
306,276,78,33991,9148,1002,5238
307,280,78,33993,9140,1004,5276
309,285,78,33994,9156,1004,5280
311,264,78,33994,9140,1003,5269
312,277,78,33995,9148,1003,5304
314,281,78,33997,9156,1004,5268
316,280,78,33999,9156,1003,5284
317,281,78,33998,9148,1003,5296
319,271,78,33996,9140,1002,5281
321,279,78,33995,9140,1003,5323
322,280,78,33995,9156,1003,5246
324,279,79,33996,9156,1003,5319
326,284,79,33996,9140,1003,5319
327,272,79,33995,9140,1002,5241
329,271,79,33993,9156,1004,5152
330,274,79,33991,9156,1002,5253
332,285,79,33989,9140,1002,5292
334,272,79,33987,9140,1001,5202
335,275,79,33986,9156,1002,5323
337,279,79,33985,9156,1003,5374
339,283,79,33985,9148,1003,5429
340,285,79,33982,9140,1002,5347
342,280,79,33978,9140,1002,5214
344,281,80,33977,9156,1003,5307
345,279,80,33977,9140,1003,5382
347,278,80,33978,9156,1003,5289
348,284,80,33978,9156,1003,5397
350,284,80,33976,9140,1002,5390
352,284,80,33975,9140,1003,5386
353,280,80,33974,9156,1003,5386
355,278,80,33974,9140,1003,5339
357,279,80,33973,9140,1002,5284
358,285,80,33972,9156,1003,5460
360,280,80,33971,9140,1003,5402
362,277,80,33970,9156,1003,5366
363,275,80,33969,9156,1003,5327
365,280,81,33968,9156,1003,5331
367,282,81,33969,9140,1003,5292
368,276,81,33971,9156,1002,5273
370,284,81,33971,9140,1003,5390
371,289,81,33970,9156,1003,5378
373,285,81,33968,9156,1001,5397
375,277,81,33967,9156,1003,5378
376,282,81,33968,9156,1003,5363
378,276,81,33967,9156,1002,5397
380,277,81,33966,9140,1003,5343
381,269,81,33965,9156,1002,5381
383,279,81,33964,9156,1003,5413
385,275,81,33963,9140,1002,5378
386,286,82,33962,9140,1002,5382
388,286,82,33962,9156,1003,5495
390,283,82,33960,9156,1003,5401
391,279,82,33959,9140,1001,5316
393,279,82,33958,9156,1002,5429
394,288,82,33956,9140,1003,5390
396,272,82,33954,9156,1002,5366
398,274,82,33952,9140,1003,5347
399,282,82,33951,9156,1002,5448
401,277,82,33950,9156,1003,5417
403,286,82,33948,9140,1002,5394
404,278,82,33947,9156,1002,5476
406,281,82,33947,9156,1002,5288
408,280,83,33945,9140,1003,5382
409,275,83,33943,9140,1003,5452
411,282,83,33941,9156,1003,5511
412,285,83,33940,9156,1002,5417
414,285,83,33939,9140,1002,5448
416,284,83,33938,9156,1004,5433
417,278,83,33938,9140,1002,5284
419,277,83,33936,9156,1002,5398
421,278,83,33934,9140,1003,5374
422,277,83,33932,9140,1002,5386
424,287,83,33931,9156,1002,5398
426,277,83,33930,9156,1002,5327
427,280,84,33928,9140,1003,5401
429,279,84,33927,9156,1003,5445
431,274,84,33926,9156,1002,5351
432,280,84,33924,9156,1003,5370
434,280,84,33923,9140,1003,5366
435,273,84,33923,9140,1003,5409
437,278,84,33923,9140,1003,5374
439,276,84,33921,9156,1002,5437
440,278,84,33920,9156,1002,5370
442,275,84,33918,9140,1002,5409
444,279,84,33916,9140,1001,5445
445,277,84,33915,9156,1003,5402
447,283,84,33915,9148,1003,5393
449,279,85,33915,9148,1002,5394
450,277,85,33914,9140,1002,5405
452,276,85,33913,9140,1003,5448
454,277,85,33913,9140,1004,5300
455,281,85,33913,9140,1002,5405
457,287,85,33913,9156,1003,5507
458,280,85,33914,9140,1000,5390
460,276,85,33915,9140,1003,5398
462,283,85,33913,9140,1003,5499
463,283,85,33913,9140,1003,5441
465,281,85,33913,9156,1003,5417
467,284,85,33914,9156,1003,5386
468,280,85,33915,9148,1002,5394
470,288,85,33916,9156,1003,5511
472,276,86,33917,9156,1002,5410
473,282,86,33917,9156,1003,5476
475,278,86,33917,9156,1003,5320
476,282,86,33919,9156,1002,5374
478,286,86,33918,9140,1001,5378
480,278,86,33918,9140,1002,5441
481,283,86,33916,9140,1003,5386
483,278,86,33916,9156,1003,5280
485,281,86,33917,9140,1003,5390
486,279,86,33917,9156,1004,5413
488,275,86,33917,9140,1002,5448
490,279,86,33917,9156,1002,5433
491,281,86,33918,9156,1002,5398
493,277,86,33917,9156,1003,5448
495,280,87,33916,9156,1002,5487
496,285,87,33915,9140,1002,5394
498,275,87,33915,9156,1003,5476
499,277,87,33915,9156,1003,5448
501,285,87,33914,9140,1003,5476
503,276,87,33912,9140,1001,5390
504,280,87,33912,9140,1002,5441
506,275,87,33912,9156,1003,5378
508,276,87,33912,9156,1002,5402
509,279,87,33911,9148,1002,5437
511,273,87,33910,9148,1001,5413
513,280,87,33909,9156,1003,5425
514,280,87,33911,9156,1003,5409
516,287,87,33912,9156,1003,5484
518,266,87,33911,9156,1002,5417
519,277,87,33912,9156,1003,5479
521,277,87,33913,9156,1002,5452
522,282,88,33912,9156,1004,5445
524,277,88,33912,9156,1003,5460
526,291,88,33911,9156,1003,5421
527,279,88,33911,9156,1003,5421
529,287,88,33911,9140,1003,5456
531,278,88,33912,9156,1002,5534
532,270,88,33911,9140,1003,5441
534,281,88,33910,9140,1003,5495
536,277,88,33909,9156,1002,5398
537,273,88,33907,9140,1001,5393
539,282,88,33904,9140,1002,5464
540,281,88,33901,9140,1002,5398
542,275,88,33897,9148,1003,5413
544,278,88,33894,9140,1003,5370
545,273,89,33892,9156,1002,5421
547,278,89,33890,9140,1003,5409
549,275,89,33888,9156,1002,5382
550,275,89,33885,9156,1003,5382
552,279,89,33885,9156,1003,5421
554,283,89,33885,9156,1002,5491
555,282,89,33885,9156,1002,5401
557,288,89,33885,9156,1004,5472
559,278,89,33885,9156,1003,5515
560,278,89,33886,9148,1003,5433
562,274,89,33885,9140,1003,5355
563,277,89,33886,9156,1001,5339
565,278,89,33886,9148,1002,5429
567,279,90,33886,9156,1003,5413
568,280,90,33887,9156,1001,5405
570,276,90,33887,9140,1002,5456
572,282,90,33887,9140,1003,5445
573,276,90,33886,9156,1003,5483
575,284,90,33886,9140,1002,5460
577,283,90,33887,9156,1003,5386
578,287,90,33886,9140,1003,5456
580,283,90,33886,9148,1003,5417
582,278,90,33885,9156,1003,5530
583,281,90,33883,9156,1002,5515
585,279,90,33882,9148,1002,5394
586,280,90,33881,9140,1003,5421
588,280,91,33880,9140,1002,5448
590,277,91,33878,9156,1002,5476
591,279,91,33877,9140,1002,5398
593,283,91,33876,9140,1003,5382
595,272,91,33875,9156,1003,5441
596,276,91,33874,9156,1003,5370
598,279,91,33873,9156,1002,5476
600,282,91,33874,9156,1003,5409
601,277,91,33873,9140,1003,5468
603,277,91,33871,9140,1001,5441
605,279,91,33870,9156,1004,5527
606,286,91,33869,9140,1002,5495
608,284,91,33867,9156,1002,5503
609,280,91,33866,9156,1003,5495
611,279,91,33866,9156,1003,5480
613,272,91,33866,9156,1003,5370
614,291,92,33867,9156,1003,5464
616,279,92,33868,9156,1003,5449
618,282,92,33867,9156,1003,5393
619,286,92,33868,9156,1003,5484
621,289,92,33869,9140,1003,5538
623,283,92,33869,9156,1003,5456
624,280,92,33870,9156,1003,5386
626,277,92,33869,9156,1003,5460
627,282,92,33868,9156,1003,5382
629,276,92,33869,9148,1003,5511
631,281,92,33869,9156,1003,5386
632,275,92,33869,9156,1002,5487
634,281,92,33870,9156,1003,5410
636,287,92,33870,9156,1002,5480
637,278,93,33869,9156,1003,5402
639,284,93,33868,9156,1002,5472
641,279,93,33867,9156,1003,5495
642,276,93,33867,9156,1003,5503
644,273,93,33867,9148,1002,5511
646,277,93,33866,9156,1003,5452
647,280,93,33865,9156,1003,5495
649,273,93,33865,9140,1003,5468
650,279,93,33865,9148,1003,5476
652,275,93,33865,9156,1003,5542
654,287,93,33865,9156,1002,5499
655,271,93,33865,9156,1004,5398
657,295,93,33864,9156,1003,5565
659,285,93,33863,9156,1003,5503
660,288,93,33861,9156,1003,5417
662,283,94,33861,9156,1002,5511
664,272,94,33861,9156,1002,5441
665,276,94,33862,9156,1004,5452
667,281,94,33862,9140,1003,5531
669,285,94,33861,9156,1003,5562
670,276,94,33860,9140,1002,5444
672,272,94,33860,9140,1003,5464
673,285,94,33858,9156,1003,5608
675,286,94,33856,9140,1003,5624
677,284,94,33855,9156,1003,5495
678,230,94,33853,9140,1003,5440
680,285,94,33853,9156,1002,5612
682,276,94,33852,9156,1003,5484
683,281,94,33852,9156,1003,5573
685,274,94,33851,9156,1003,5464
687,285,94,33850,9156,1002,5511
688,287,95,33849,9156,1002,5581
690,287,95,33850,9156,1003,5589
692,284,95,33850,9156,1003,5507
693,283,95,33851,9156,1002,5546
695,282,95,33850,9156,1003,5448
696,284,95,33850,9156,1003,5628
698,282,95,33848,9156,1003,5585
700,285,95,33848,9156,1003,5553
701,280,95,33847,9148,1001,5511
703,280,95,33845,9156,1003,5557
705,277,95,33844,9148,1002,5503
706,288,95,33843,9156,1003,5499
708,281,95,33842,9156,1003,5452
710,284,95,33840,9156,1002,5612
711,280,95,33839,9156,1003,5526
713,288,95,33840,9156,1002,5585
714,284,95,33840,9156,1003,5514
716,280,95,33839,9156,1003,5561
718,283,95,33838,9156,1003,5597
719,275,95,33837,9156,1002,5499
721,279,95,33837,9156,1003,5487
723,274,95,33837,9156,1003,5581
724,284,95,33840,9156,1004,5519
726,284,95,33841,9156,1003,5557
728,273,95,33842,9156,1003,5452
729,285,95,33843,9156,1003,5624
731,286,96,33844,9156,1003,5565
733,231,96,33845,9156,1004,5515
734,274,96,33846,9156,1003,5519
736,276,96,33847,9156,1003,5597
737,284,96,33848,9156,1003,5639
739,276,96,33849,9156,1003,5557
741,279,96,33848,9156,1002,5592
742,281,96,33846,9156,1002,5496
744,281,96,33844,9156,1003,5519
746,280,96,33844,9156,1003,5561
747,279,96,33843,9156,1003,5565
749,283,96,33841,9156,1003,5503
751,279,96,33839,9156,1001,5620
752,282,96,33837,9156,1003,5538
754,282,96,33835,9156,1002,5569
756,279,96,33834,9156,1001,5585
757,285,96,33831,9156,1001,5675
759,233,96,33830,9140,1002,5636
760,291,96,33828,9156,1002,5667
762,284,96,33826,9140,1003,5644
764,281,96,33824,9156,1003,5582
765,278,96,33822,9156,1003,5612
767,281,96,33821,9140,1003,5511
769,235,96,33821,9156,1004,5605
770,276,97,33819,9156,1004,5554
772,276,97,33817,9156,1002,5530
774,282,97,33815,9140,1003,5453
775,283,97,33815,9156,1002,5585
777,282,97,33814,9156,1003,5605
779,282,97,33813,9156,1002,5581
780,285,97,33814,9156,1003,5561
782,283,97,33814,9156,1001,5628
783,275,97,33814,9156,1003,5464
785,276,97,33812,9156,1002,5585
787,283,97,33811,9156,1002,5554
788,285,97,33810,9171,1003,5632
790,272,97,33810,9171,1003,5491
792,285,97,33810,9156,1003,5570
793,277,97,33808,9156,1003,5561
795,284,97,33809,9171,1002,5604
797,286,97,33810,9156,1003,5675
798,286,97,33811,9156,1003,5542
800,281,97,33812,9156,1003,5589
