elapsed sec.,core.v,core.i,core.duty,tmu.avg,tsens0,tsens1,power
0,1002,4855,8906,35291,73,0,310
1,1002,4855,8906,35282,73,0,310
1,1011,34312,9937,35271,73,0,1546
2,1011,34312,9937,35258,73,0,1546
2,1011,34312,9937,35247,73,0,1546
3,998,35781,9968,35234,74,0,1572
3,998,35781,9968,35220,74,0,1572
4,998,35781,9968,35206,74,0,1572
4,998,35781,9968,35194,74,0,1572
5,1019,37812,10039,35178,76,0,1696
5,1019,37812,10039,35161,76,0,1696
6,1019,37812,10039,35144,76,0,1696
6,989,37374,10093,35125,79,0,1681
7,989,37374,10093,35104,79,0,1681
7,989,37374,10093,35083,79,0,1681
8,991,39437,10125,35065,82,0,1722
8,991,39437,10125,35042,82,0,1722
9,991,39437,10125,35020,82,0,1722
9,991,39437,10125,34997,82,0,1722
10,998,38499,10187,34975,85,0,1737
10,998,38499,10187,34950,85,0,1737
11,998,38499,10187,34925,85,0,1737
11,1015,41468,10077,34905,89,0,1895
12,1015,41468,10077,34878,89,0,1895
12,1015,41468,10077,34852,89,0,1895
13,997,41124,10218,34826,92,0,1816
13,997,41124,10218,34798,92,0,1816
14,997,41124,10218,34771,92,0,1816
14,1001,41781,10242,34742,92,0,1792
15,1001,41781,10242,34720,96,0,1792
15,1001,41781,10242,34690,96,0,1792
16,1001,41781,10242,34660,96,0,1792
16,1012,41155,10101,34629,100,0,1864
17,1012,41155,10101,34598,100,0,1864
17,1012,41155,10101,34567,100,0,1864
18,986,44312,10250,34534,103,0,1942
18,986,44312,10250,34503,103,0,1942
19,986,44312,10250,34477,103,0,1942
19,993,45437,10406,34443,106,0,1997
27,1003,6444,9015,34178,113,0,375
27,1002,6155,9000,34176,112,0,367
28,1002,6155,9000,34176,112,0,367
28,1002,6155,9000,34175,112,0,367
29,1002,5871,8984,34176,111,0,359
29,1002,5871,8984,34177,111,0,359
30,1002,5871,8984,34180,111,0,359
30,1002,5871,8984,34185,111,0,359
31,1002,5706,8984,34190,110,0,349
31,1002,5706,8984,34196,110,0,349
32,1002,5706,8984,34201,110,0,349
32,1002,5456,8968,34209,109,0,346
33,1002,5456,8968,34220,109,0,346
33,1002,5456,8968,34232,109,0,346
34,1003,5452,8968,34245,107,0,342
34,1003,5452,8968,34259,107,0,342
35,1003,5452,8968,34273,107,0,342
35,1002,5202,8968,34288,107,0,342
36,1002,5202,8968,34299,106,0,329
36,1002,5202,8968,34315,106,0,329
37,1002,5202,8968,34332,106,0,329
37,1003,5358,8953,34349,105,0,343
38,1003,5358,8953,34369,105,0,343
38,1003,5358,8953,34388,105,0,343
39,1002,5229,8953,34408,103,0,333
39,1002,5229,8953,34424,103,0,333
40,1002,5229,8953,34445,103,0,333
40,1002,5178,8937,34467,102,0,330
41,1002,5178,8937,34488,102,0,330
41,1002,5178,8937,34512,102,0,330
42,1002,5178,8937,34535,102,0,330
42,1001,5085,8945,34560,100,0,329
43,1001,5085,8945,34586,100,0,329
43,1001,5085,8945,34611,100,0,329
44,1002,4933,8937,34633,99,0,316
44,1002,4933,8937,34659,99,0,316
45,1002,4933,8937,34687,99,0,316
45,1002,4999,8937,34716,98,0,321
46,1002,4999,8937,34737,98,0,321
46,1002,4999,8937,34756,98,0,321
47,1002,4987,8937,34774,98,0,323
47,1002,4987,8937,34787,97,0,323
48,1002,4987,8937,34802,97,0,323
48,1002,4987,8937,34817,97,0,323
49,1001,4796,8921,34831,96,0,320
49,1001,4796,8921,34844,96,0,320
50,1001,4796,8921,34857,96,0,320
50,1003,4729,8921,34866,94,0,302
51,1003,4729,8921,34878,94,0,302
51,1003,4729,8921,34888,94,0,302
52,1002,4729,8921,34898,93,0,309
52,1002,4729,8921,34908,93,0,309
53,1002,4729,8921,34917,93,0,309
53,1002,4729,8921,34926,93,0,309
54,1001,4835,8921,34934,92,0,319
54,1001,4835,8921,34941,92,0,319
55,1001,4835,8921,34948,92,0,319
55,1002,4776,8921,34957,92,0,310
56,1002,4776,8921,34964,92,0,310
56,1002,4776,8921,34971,92,0,310
57,1002,4690,8921,34978,91,0,310
57,1002,4690,8921,34984,91,0,310
